file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
PP39_UK_1,0.0,4.2,PP39_UK,-46.47509300595238,-64.45135969274185,7.332867711884854,23.083312489510664
PP41_UK_1,0.0,5.4,PP41_UK,-52.31039858217593,-60.0189639820772,7.275953579859437,17.56127426084744
PP9_US_1,0.0,5.46,PP9_US_,-51.98038289835165,-69.50852224561903,6.89136407699595,21.211741615216155
PP37_UK_1,0.0,5.525351473922902,PP37_UK,-54.17995945411393,-60.795345306396484,6.131347530553357,8.3800406410737
PP32_US_1,0.0,5.46,PP32_US,-43.89014208447802,-59.011547313017005,4.673872802828019,16.242767392515077
PP25_US_1,0.0,5.46,PP25_US,-47.61060196314103,-63.11815710628734,4.2303750766854264,15.41157397342795
PP48_UK_1,0.0,5.46,PP48_UK,-43.96182821085165,-66.27196778191461,4.155404276650591,21.80255354370816
PP2_UK_1,0.0,5.46,PP2_UK_,-46.794957646520146,-65.98791766166687,4.0359267052874275,14.347139165005395
PP10_US_1,0.0,5.46,PP10_US,-46.398151327838825,-62.009277534484866,3.9568025083773652,16.007818404307645
PP12_US_1,0.0,5.461337868480726,PP12_US,-57.85610906021062,-71.10441780090332,3.915495084811845,13.165176310268595
PP45_UK_1,0.0,5.46,PP45_UK,-56.07836466918498,-72.47561836242676,3.5712942535079,16.08039631474711
PP21_US_1,0.0,5.4,PP21_US,-46.829018373842594,-56.370976391960596,3.5651284874715357,18.94355809133932
PP6_UK_1,0.0,5.46,PP6_UK_,-51.25413161057692,-66.32669019699097,3.506833678412753,17.01818170428747
PP36_UK_1,0.0,5.46,PP36_UK,-46.78922704899267,-64.22570553947898,3.506830524769553,20.627423297240796
PP21_UK_1,0.0,5.46,PP21_UK,-48.474230196886445,-80.65347123146057,3.358797646559613,26.84227579154748
PP20_US_1,0.0,5.4,PP20_US,-51.410579427083334,-63.10792899131775,3.3569723637801254,21.88557018917729
PP16_US_1,0.0,5.47,PP16_US,-45.126074754341865,-57.354826534495636,3.343379624400239,22.59870968368854
PP39_US_1,0.0,5.46,PP39_US,-44.14213455815018,-67.03536157047047,3.343378302672757,20.95281202475811
PP50_UK_1,0.0,5.46,PP50_UK,-49.02209964514652,-65.86575136686626,3.3433769809452754,20.984585356658005
PP27_US_1,0.0,5.46,PP27_US,-45.3994140625,-64.84700842464672,3.3433769809452754,18.17320302658071
PP5_UK_1,0.0,5.4,PP5_UK_,-51.22764033564815,-69.44983131007145,3.3121778762827225,12.00865603321679
PP1_US_1,0.0,5.4,PP1_US_,-42.39497612847222,-50.0631890296936,3.277207274916029,20.799420193083044
PP9_UK_1,0.0,5.46,PP9_UK_,-51.9048584878663,-77.21392128684305,3.0648164571913936,10.037135663565868
PP20_UK_1,0.0,5.4,PP20_UK,-48.46952039930556,-67.05130696296692,3.0576580244823885,18.896098868454153
PP34_US_1,0.0,5.46,PP34_US,-49.597237723214285,-60.69420197430779,3.0338117518521006,17.95349273174097
PP13_US_1,0.0,5.46,PP13_US,-42.07074891254579,-57.42128412347091,3.0105227184514636,14.326847252135977
PP24_UK_1,0.0,5.46,PP24_UK,-51.78569639995421,-64.88070392608643,3.0024031271704827,16.45517426619601
PP23_US_1,0.0,5.4826530612244895,PP23_US,-45.14381486656022,-60.82232553818647,2.9999947294689617,14.18160547066103
PP42_US_1,0.0,5.46,PP42_US,-44.523144173534796,-87.69345541561351,2.9464126937886665,19.37603815287098
PP33_US_1,0.0,5.4,PP33_US,-48.04086009837963,-60.8074161305147,2.872233372077273,16.003967682078713
PP38_US_1,0.0,5.46,PP38_US,-45.09678342490842,-56.44733339197495,2.809945138328311,16.67992940020722
PP12_UK_1,0.0,5.46,PP12_UK,-45.224838312728934,-74.79686288272633,2.7935243344448972,22.871313697609256
PP26_US_1,0.0,5.46,PP26_US,-43.6905763507326,-56.95874955919054,2.6922417146654487,22.178430989498448
PP31_US_1,0.0,5.46,PP31_US,-54.65058379120879,-59.52920891256893,2.6256820453935696,13.981714837080368
PP22_US_1,0.0,5.46,PP22_US,-53.918580442994504,-61.951260061825025,2.456384172115052,13.668504805374171
PP49_UK_1,0.0,5.46,PP49_UK,-47.144355969551285,-62.86035474141439,2.4414284895004665,18.040713791652017
PP42_UK_1,0.0,5.475011337868481,PP42_UK,-45.75123674156022,-57.937266630284924,2.4414284895004665,13.244564717113706
PP44_UK_1,0.0,5.46,PP44_UK,-48.32997438759158,-64.39034428316005,2.4072124027889457,15.510749412774143
PP48_US_1,0.0,5.46,PP48_US,-56.33720381181319,-61.45820681254069,2.2472562290029736,17.774642261971586
PP40_US_1,0.0,5.46,PP40_US,-53.41733559409341,-85.18372861076804,2.2346326655887916,25.81501121168236
PP8_US_1,0.0,5.46,PP8_US_,-45.85914963942308,-53.95744082802221,2.2152686917460973,20.980298768504465
PP31_UK_1,0.0,5.46,PP31_UK,-44.117402129120876,-66.89005638571346,2.117622156706209,21.587436905382354
PP46_UK_1,0.0,5.46,PP46_UK,-46.604620964972526,-62.45002704196506,2.117618560693074,15.646977274472464
PP29_UK_1,0.0,5.458684807256236,PP29_UK,-54.59132826808608,-73.1462819841173,2.088694962924064,23.207962147350425
PP11_US_1,0.0,5.46,PP11_US,-43.45902372367216,-59.37137658255441,1.9987113414235353,15.557135735669238
PP47_US_1,0.0,5.526349206349207,PP47_US,-41.63944535488246,-63.53887243831859,1.980780082563628,18.1816498451276
PP34_UK_1,0.0,5.4,PP34_UK,-46.45756293402778,-70.62712792789235,1.980780082563628,24.503502999435902
PP37_US_1,0.0,5.46,PP37_US,-49.068878062042124,-58.574555502997505,1.9599117723141852,14.310877181796862
PP14_US_1,0.0,5.4,PP14_US,-42.85698423032407,-57.013843059539795,1.929728777295794,17.046978958445788
PP13_UK_1,0.0,5.46,PP13_UK,-44.548964056776555,-68.32010329397102,1.9195545977887294,28.539126043407535
PP14_UK_1,0.0,5.46,PP14_UK,-50.82051997481685,-60.12552582590204,1.91955144414553,19.17626483320687
PP30_UK_1,0.0,5.46,PP30_UK,-42.59894044757326,-53.95612977680407,1.8828419694666267,10.97159072252795
PP4_UK_1,0.0,5.46,PP4_UK_,-45.689871651785715,-66.62598060159122,1.8828419694666267,23.27035883565513
PP35_UK_1,0.0,5.526349206349207,PP35_UK,-50.27356464737794,-63.33734365609976,1.8828419694666267,19.18023983568262
PP33_UK_1,0.0,5.46,PP33_UK,-50.29518658424909,-77.83866837445427,1.8828404544880897,23.746863152146553
PP3_US_1,0.0,5.4,PP3_US_,-48.42890263310185,-60.87501413681928,1.8330179594943399,21.861525356373438
PP23_UK_1,0.0,5.46,PP23_UK,-46.828489869505496,-70.95281780467315,1.8330154904247777,26.165906603599286
PP15_UK_1,0.0,5.4,PP15_UK,-55.41797236689815,-63.5412332871381,1.8038948951001579,14.883201845804429
PP8_UK_1,0.0,5.46,PP8_UK_,-46.16732843978938,-61.95176270428826,1.7911349394461977,18.194832841963056
PP28_US_1,0.0,5.4,PP28_US,-48.64468677662037,-66.42302152845595,1.7411673779508163,25.277167022011316
PP27_UK_1,0.0,5.46,PP27_UK,-44.83560840201465,-67.0007209777832,1.664448895733722,19.84099101835107
PP18_UK_1,0.0,5.4,PP18_UK,-43.01286530671296,-59.0976373884413,1.6550080843513921,23.10091275982053
PP1_UK_1,0.0,5.4,PP1_UK_,-48.47316984953704,-60.125980615615845,1.642637743601538,20.86733221651072
PP43_UK_1,0.0,5.46,PP43_UK,-47.947737809065934,-65.40451371042352,1.6286709903434087,23.016753876001097
PP17_UK_1,0.0,5.469319727891157,PP17_UK,-49.055444469835464,-65.76720894707574,1.6122634337357833,19.080136931249925
PP32_UK_1,0.0,5.46,PP32_UK,-50.17118103250916,-60.23512810154965,1.6035600781530743,12.908835349051465
PP36_US_1,0.0,5.46,PP36_US,-46.76627961881868,-61.00979636697208,1.5693887198298646,19.03036781562577
PP3_UK_1,0.0,5.4,PP3_UK_,-59.20141782407408,-67.22149097218232,1.5647809224722753,11.220494376727341
PP38_UK_1,0.0,5.4,PP38_UK,-47.71559244791667,-59.86210744521197,1.5245092927134756,10.731497083854192
PP47_UK_1,0.0,5.46,PP47_UK,-48.779862065018314,-60.63578325159409,1.3904615709140549,20.153301070603277
PP49_US_1,0.0,5.46,PP49_US,-49.73882855425824,-61.6837636162253,1.3904552636276557,18.88090533803531
PP43_US_1,0.0,5.46,PP43_US,-46.07020518543956,-67.39911292580997,1.3476372133036043,13.361451674827622
PP30_US_1,0.0,5.46,PP30_US,-43.35016383356227,-61.811443104463464,1.3476372133036043,21.28295100550714
PP18_US_1,0.0,5.46,PP18_US,-50.50900011446886,-69.14257318833295,1.3094587267961388,14.704756081875988
PP28_UK_1,0.0,5.46,PP28_UK,-49.46546975160256,-61.71185564994812,1.2564283862479642,13.92415164533592
PP24_US_1,0.0,5.46,PP24_US,-46.871526585393774,-62.54067544376149,1.2564264600587793,17.05124553660477
PP26_UK_1,0.0,5.46,PP26_UK,-44.31205285599817,-59.29966376809513,1.2437467849079384,20.261856683516047
PP19_UK_1,0.0,5.4,PP19_UK,-47.26265552662037,-64.28170916908665,1.2437467849079384,18.745848593777
PP15_US_1,0.0,5.46,PP15_US,-44.95123984088828,-59.484426498413086,1.2437379987779804,10.709371717282803
PP4_US_1,0.0,5.46,PP4_US_,-43.47975331959707,-62.29193200005425,1.2126530871992969,21.346104352354995
PP11_UK_1,0.0,5.46,PP11_UK,-45.20374027014652,-64.62107808966385,1.2009992535359633,27.857016758249287
PP17_US_1,0.0,5.46,PP17_US,-52.94923663576007,-60.80902032291188,1.2005917714639098,16.56368105123813
PP2_US_1,0.0,5.46,PP2_US_,-41.2254392742674,-62.969142641339985,1.2005881754507748,16.814856416571406
PP35_US_1,0.0,5.4,PP35_US,-50.81102068865741,-57.897611281451056,1.20058457943764,19.043969582612746
PP25_UK_1,0.0,5.46,PP25_UK,-48.54847040979853,-69.38993319343118,1.1672781294014067,19.45794824322555
PP7_UK_1,0.0,5.46,PP7_UK_,-59.60187728937729,-62.465565849752984,1.1259150574767176,10.84939500657328
PP6_US_1,0.0,5.46,PP6_US_,-43.665214342948715,-57.47249266680549,1.1203275171184353,16.436904712760878
PP5_US_1,0.0,5.46,PP5_US_,-44.96878219436813,-58.57411787245009,1.0916029239356242,17.726911726820006
PP29_US_1,0.0,5.46,PP29_US,-41.57381453182234,-48.4251017850988,1.0916029239356242,14.754380154081925
PP40_UK_1,0.0,5.46,PP40_UK,-46.7255859375,-62.27517218338816,1.0916029239356242,16.967785155530944
PP44_US_1,0.0,5.46,PP44_US,-41.263206845238095,-54.92507777494543,1.0916029239356242,16.31119426473507
PP46_US_1,0.0,5.4,PP46_US,-54.82487702546296,-58.95608475629021,1.0916029239356242,18.010279063135858
PP41_US_1,0.0,5.46,PP41_US,-48.34908353365385,-65.08155396405388,1.0916029239356242,18.207032547498535
PP16_UK_1,0.0,5.4,PP16_UK,-49.89531611689815,-57.98002062345806,1.0916029239356242,19.14704256414324
PP7_US_1,0.0,5.46,PP7_US_,-48.34074876945971,-57.98493552207947,1.0916029239356242,12.601478714290373
PP45_US_1,0.0,5.458684807256236,PP45_US,-42.491861979166664,-70.41169940724092,1.0916029239356242,29.033375143846342
PP22_UK_1,0.0,5.46,PP22_UK,-45.164752890338825,-59.448759639964386,1.091597637025697,13.475859485086882
PP10_UK_1,0.0,5.4,PP10_UK,,,,
PP19_US_1,0.0,5.46,PP19_US,-34.7062263907967,,,3.202972744116181
PP50_US_1,0.0,5.46,PP50_US,-38.586456187042124,,,1.137893626705221
